2021-12-13_13:47:02.099,buy,IF2112,5103.8,1,dir,1,info=,5098.32,5104
2021-12-13_13:47:02.099,sell,IC2112,7356,1,dir,2,info=,7360.7,7356.6
2021-12-14_09:30:18.772,buy,SGX_CN_2112,16344,30,dir,1,info=,16296.4,
2021-12-14_09:30:18.787,sell,IF2112,5071.8,1,dir,2,info=,5061.57,5072
2021-12-14_09:30:18.787,buy,IC2112,7325.2,1,dir,1,info=,7321.15,7325.4
2021-12-14_09:30:18.896,sell,IF2112,5071.8,1,dir,2,info=,5061.57,5072
2021-12-14_09:30:18.908,sell,IF2112,5071.4,1,dir,2,info=,5061.57,5072
2021-12-14_11:20:49.414,buy,SGX_CN_2112,16341,3,dir,1,info=,16289.9,
2021-12-14_11:20:49.416,buy,SGX_CN_2112,16341,1,dir,1,info=,16289.9,
2021-12-14_11:20:49.436,buy,SGX_CN_2112,16341,20,dir,1,info=,16289.9,
2021-12-14_11:20:49.436,buy,SGX_CN_2112,16341,6,dir,1,info=,16289.9,
2021-12-14_11:20:49.454,sell,IF2112,5068.8,1,dir,2,info=,5056.07,5069.4
2021-12-14_11:20:49.455,sell,IF2112,5068.8,1,dir,2,info=,5056.07,5069.4
2021-12-14_11:20:49.456,sell,IF2112,5068.8,1,dir,2,info=,5056.07,5069.4
2021-12-14_11:20:49.456,buy,IC2112,7346.6,1,dir,1,info=,7338,7346.8
2021-12-14_13:20:09.926,buy,SGX_CN_2112,16331,1,dir,1,info=,16317.5,
2021-12-14_13:20:09.979,buy,SGX_CN_2112,16331,1,dir,1,info=,16317.5,
2021-12-14_13:20:10.032,buy,SGX_CN_2112,16331,1,dir,1,info=,16317.5,
2021-12-14_13:20:10.722,buy,SGX_CN_2112,16331,1,dir,1,info=,16317.5,
2021-12-14_13:20:10.723,buy,SGX_CN_2112,16331,1,dir,1,info=,16317.5,
2021-12-14_13:20:17.285,buy,SGX_CN_2112,16331,25,dir,1,info=,16317.5,
2021-12-14_13:20:17.298,sell,IF2112,5069.4,1,dir,2,info=,5064.24,5069.6
2021-12-14_13:20:17.299,sell,IF2112,5069.2,1,dir,2,info=,5064.24,5069.6
2021-12-14_13:20:17.299,sell,IF2112,5069,1,dir,2,info=,5064.24,5069.6
2021-12-14_13:20:17.300,buy,IC2112,7344.2,1,dir,1,info=,7348.35,7344.2
2021-12-14_13:33:01.337,buy,SGX_CN_2112,16336,30,dir,1,info=,16317.5,
2021-12-14_13:33:01.360,buy,IC2112,7344.4,1,dir,1,info=,7348.35,7344.6
2021-12-14_13:33:01.448,sell,IF2112,5069.6,1,dir,2,info=,5064.24,5070.2
2021-12-14_13:33:01.472,sell,IF2112,5069.6,1,dir,2,info=,5064.24,5070.2
2021-12-14_13:33:01.796,sell,IF2112,5069.6,1,dir,2,info=,5064.24,5070.2
2021-12-14_13:42:29.823,buy,SGX_CN_2112,16312,30,dir,1,info=,16317.5,
2021-12-14_13:42:29.847,sell,IF2112,5064,1,dir,2,info=,5064.24,5064.6
2021-12-14_13:42:29.848,sell,IF2112,5064,1,dir,2,info=,5064.24,5064.6
2021-12-14_13:42:29.848,buy,IC2112,7337.8,1,dir,1,info=,7348.35,7338
2021-12-14_13:42:29.992,sell,IF2112,5064,1,dir,2,info=,5064.24,5064.6
2021-12-15_09:30:08.412,buy,SGX_CN_2112,16243,2,dir,1,info=,16213.7,
2021-12-15_09:30:08.425,buy,SGX_CN_2112,16243,1,dir,1,info=,16213.7,
2021-12-15_09:30:08.435,buy,SGX_CN_2112,16243,1,dir,1,info=,16213.7,
2021-12-15_09:30:08.435,buy,SGX_CN_2112,16243,3,dir,1,info=,16213.7,
2021-12-15_09:30:08.440,buy,SGX_CN_2112,16244,1,dir,1,info=,16213.7,
2021-12-15_09:30:08.440,buy,SGX_CN_2112,16244,1,dir,1,info=,16213.7,
2021-12-15_09:30:08.441,buy,SGX_CN_2112,16244,1,dir,1,info=,16213.7,
2021-12-15_09:30:08.441,buy,SGX_CN_2112,16244,6,dir,1,info=,16213.7,
2021-12-15_09:30:08.442,buy,SGX_CN_2112,16244,1,dir,1,info=,16213.7,
2021-12-15_09:30:08.442,buy,SGX_CN_2112,16245,1,dir,1,info=,16213.7,
2021-12-15_09:30:08.443,buy,SGX_CN_2112,16245,2,dir,1,info=,16213.7,
2021-12-15_09:30:08.456,buy,SGX_CN_2112,16245,1,dir,1,info=,16213.7,
2021-12-15_09:30:08.457,buy,SGX_CN_2112,16245,1,dir,1,info=,16213.7,
2021-12-15_09:30:08.458,buy,SGX_CN_2112,16245,1,dir,1,info=,16213.7,
2021-12-15_09:30:08.459,sell,IF2201,5054.6,1,dir,2,info=,5038.02,5054.4
2021-12-15_09:30:08.460,sell,IF2201,5054.4,1,dir,2,info=,5038.02,5054.4
2021-12-15_09:30:08.462,buy,SGX_CN_2112,16245,3,dir,1,info=,16213.7,
2021-12-15_09:30:08.463,buy,SGX_CN_2112,16245,3,dir,1,info=,16213.7,
2021-12-15_09:30:08.463,buy,SGX_CN_2112,16245,1,dir,1,info=,16213.7,
2021-12-15_09:30:08.489,sell,IF2201,5054.4,1,dir,2,info=,5038.02,5054.4
2021-12-15_09:30:08.490,buy,IC2201,7296.4,1,dir,1,info=,7317.14,7296.6
2021-12-15_09:30:19.957,buy,SGX_CN_2112,16266,1,dir,1,info=,16219.1,
2021-12-15_09:30:19.958,buy,SGX_CN_2112,16266,2,dir,1,info=,16219.1,
2021-12-15_09:30:19.961,buy,SGX_CN_2112,16267,1,dir,1,info=,16219.1,
2021-12-15_09:30:19.961,buy,SGX_CN_2112,16267,2,dir,1,info=,16219.1,
2021-12-15_09:30:19.961,buy,SGX_CN_2112,16267,2,dir,1,info=,16219.1,
2021-12-15_09:30:19.962,buy,SGX_CN_2112,16267,6,dir,1,info=,16219.1,
2021-12-15_09:30:19.962,buy,SGX_CN_2112,16267,3,dir,1,info=,16219.1,
2021-12-15_09:30:19.963,buy,SGX_CN_2112,16268,1,dir,1,info=,16219.1,
2021-12-15_09:30:19.963,buy,SGX_CN_2112,16268,6,dir,1,info=,16219.1,
2021-12-15_09:30:19.964,buy,SGX_CN_2112,16268,3,dir,1,info=,16219.1,
2021-12-15_09:30:19.977,buy,SGX_CN_2112,16268,3,dir,1,info=,16219.1,
2021-12-15_09:30:19.978,sell,IF2201,5055,1,dir,2,info=,5040.28,5054.8
2021-12-15_09:30:19.978,sell,IF2201,5055,1,dir,2,info=,5040.28,5054.8
2021-12-15_09:30:19.989,sell,IF2201,5055,1,dir,2,info=,5040.28,5054.8
2021-12-15_09:30:19.990,buy,IC2201,7293,1,dir,1,info=,7316.94,7293.4
2021-12-15_09:30:34.163,buy,SGX_CN_2112,16244,7,dir,1,info=,16207.3,
2021-12-15_09:30:34.777,buy,SGX_CN_2112,16244,4,dir,1,info=,16207.3,
2021-12-15_09:30:34.777,buy,SGX_CN_2112,16244,13,dir,1,info=,16207.3,
2021-12-15_09:30:34.777,buy,SGX_CN_2112,16244,6,dir,1,info=,16207.3,
2021-12-15_09:30:34.801,sell,IF2201,5052,1,dir,2,info=,5037.89,5052
2021-12-15_09:30:34.802,sell,IF2201,5051.6,1,dir,2,info=,5037.89,5052
2021-12-15_09:30:34.803,buy,IC2201,7291.2,1,dir,1,info=,7314.66,7291.8
2021-12-15_09:30:34.818,sell,IF2201,5051.6,1,dir,2,info=,5037.89,5052
2021-12-15_09:30:35.701,buy,SGX_CN_2112,16242,30,dir,1,info=,16203.9,
2021-12-15_09:30:35.721,buy,IC2201,7290,1,dir,1,info=,7314.06,7289.4
2021-12-15_09:30:35.894,sell,IF2201,5051.2,1,dir,2,info=,5037.2,5051.8
2021-12-15_09:30:36.132,sell,IF2201,5051.2,1,dir,2,info=,5037.2,5051.8
2021-12-15_09:30:36.145,sell,IF2201,5051.2,1,dir,2,info=,5037.2,5051.8
2021-12-15_09:35:42.845,buy,SGX_CN_2112,16192,4,dir,1,info=,16186.2,
2021-12-15_09:35:42.868,buy,SGX_CN_2112,16192,3,dir,1,info=,16186.2,
2021-12-15_09:35:42.868,buy,SGX_CN_2112,16193,1,dir,1,info=,16186.2,
